Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,street,district,area_comfort
101000.0,1.0,1772.0,33.0,36.0,2009.0,57.0,37.0,14.0,Перемоги,Шевченківський,"<bound method Series.clip of 0      10.0
1      13.0
2      22.0
3      11.0
4     -10.0
       ... 
371     0.0
372     9.0
373     8.0
374    18.0
375    10.0
Length: 376, dtype: float64>"
91000.0,1.0,1750.0,33.0,35.0,2009.0,52.0,20.0,22.0,Перемоги,Шевченківський,"<bound method Series.clip of 0      10.0
1      13.0
2      22.0
3      11.0
4     -10.0
       ... 
371     0.0
372     9.0
373     8.0
374    18.0
375    10.0
Length: 376, dtype: float64>"
89000.0,1.0,2342.0,7.0,15.0,2009.0,38.0,20.0,7.0,Перемоги,Шевченківський,"<bound method Series.clip of 0      10.0
1      13.0
2      22.0
3      11.0
4     -10.0
       ... 
371     0.0
372     9.0
373     8.0
374    18.0
375    10.0
Length: 376, dtype: float64>"
46998.0,2.0,1000.0,5.0,5.0,1968.0,47.0,35.0,8.0,Братиславська,"Деснянський, Дніпровський","<bound method Series.clip of 0      10.0
1      13.0
2      22.0
3      11.0
4     -10.0
       ... 
371     0.0
372     9.0
373     8.0
374    18.0
375    10.0
Length: 376, dtype: float64>"
298000.0,3.0,2249.0,11.0,23.0,2016.0,69.0,37.0,14.0,Трускавецька,Дарницький,"<bound method Series.clip of 0      10.0
1      13.0
2      22.0
3      11.0
4     -10.0
       ... 
371     0.0
372     9.0
373     8.0
374    18.0
375    10.0
Length: 376, dtype: float64>"
250000.0,3.0,2809.0,3.0,23.0,2019.0,89.0,37.0,14.0,Трускавецька,Дарницький,"<bound method Series.clip of 0      10.0
1      13.0
2      22.0
3      11.0
4     -10.0
       ... 
371     0.0
372     9.0
373     8.0
374    18.0
375    10.0
Length: 376, dtype: float64>"
100000.0,1.0,2000.0,3.0,23.0,2016.0,50.0,28.0,20.0,Трускавецька,Дарницький,"<bound method Series.clip of 0      10.0
1      13.0
2      22.0
3      11.0
4     -10.0
       ... 
371     0.0
372     9.0
373     8.0
374    18.0
375    10.0
Length: 376, dtype: float64>"
43100.0,1.0,1390.0,8.0,26.0,2018.0,31.0,16.0,5.0,Каховська,Дніпровський,"<bound method Series.clip of 0      10.0
1      13.0
2      22.0
3      11.0
4     -10.0
       ... 
371     0.0
372     9.0
373     8.0
374    18.0
375    10.0
Length: 376, dtype: float64>"
118000.0,3.0,1494.0,17.0,25.0,2018.0,79.0,36.0,35.0,Каховська,Дніпровський,"<bound method Series.clip of 0      10.0
1      13.0
2      22.0
3      11.0
4     -10.0
       ... 
371     0.0
372     9.0
373     8.0
374    18.0
375    10.0
Length: 376, dtype: float64>"
41000.0,1.0,1323.0,21.0,26.0,2018.0,31.0,12.0,8.0,Каховська,Дніпровський,"<bound method Series.clip of 0      10.0
1      13.0
2      22.0
3      11.0
4     -10.0
       ... 
371     0.0
372     9.0
373     8.0
374    18.0
375    10.0
Length: 376, dtype: float64>"
54100.0,1.0,1339.0,4.0,26.0,2018.0,69.0,37.0,14.0,Каховська,Дніпровський,"<bound method Series.clip of 0      10.0
1      13.0
2      22.0
3      11.0
4     -10.0
       ... 
371     0.0
372     9.0
373     8.0
374    18.0
375    10.0
Length: 376, dtype: float64>"
70500.0,2.0,1203.0,20.0,26.0,2020.0,69.0,28.0,14.0,Каховська,Дніпровський,"<bound method Series.clip of 0      10.0
1      13.0
2      22.0
3      11.0
4     -10.0
       ... 
371     0.0
372     9.0
373     8.0
374    18.0
375    10.0
Length: 376, dtype: float64>"
160000.0,3.0,2000.0,21.0,25.0,2018.0,80.0,37.0,14.0,Каховська,Дніпровський,"<bound method Series.clip of 0      10.0
1      13.0
2      22.0
3      11.0
4     -10.0
       ... 
371     0.0
372     9.0
373     8.0
374    18.0
375    10.0
Length: 376, dtype: float64>"
81000.0,3.0,1012.0,17.0,25.0,2018.0,80.0,60.0,14.0,Каховська,Дніпровський,"<bound method Series.clip of 0      10.0
1      13.0
2      22.0
3      11.0
4     -10.0
       ... 
371     0.0
372     9.0
373     8.0
374    18.0
375    10.0
Length: 376, dtype: float64>"
